
WINNING CREATURE
charlottehornets 1400.75 325.019
brooklynnets 1373.88 167.27
detroitpistons 1371.57 158.363
indianapacers 1361.32 275.145
16977.6
WINNING CREATURE
orlandomagic 2366.69 260.238
bostonceltics 2331.11 252.27
clevelandcavaliers 2299.12 277.938
losangeleslakers 2259.17 256.226
sanantoniospurs 1893 158.259
houstonrockets 1805.26 350.88
portlandtrailblazers 1756.77 366.552
neworleanspelicans 1742.46 209.736
utahjazz 1696.8 341.284
denvernuggets 1695.97 279.95
dallasmavericks 1670.41 249.548
atlantahawks 1660.61 315.199
phoenixsuns 1601.71 225.247
chicagobulls 1583.85 260.636
miamiheat 1548.77 219.342
philadelphiassers 1505.08 342.113
milwaukeebucks 1465.39 250.999
indianapacers 1415.36 278.347
charlottehornets 1396.21 215.359
goldenstatewarriors 1357.31 277.1
16991.1
