WINNING CREATURE
dallasmavericks 1579.8 134.97
utahjazz 1555.65 240.755
memphisgrizzlies 1452.64 240.002
washingtonwizards 1450.4 189.688
houstonrockets 1416.99 216.14
detroitpistons 1409.72 280.088
orlandomagic 1365.06 287.502
chicagobulls 1359.22 240.005
16776.1
WINNING CREATURE
goldenstatewarriors 2505.21 221.128
sanantoniospurs 2211.37 317.719
torontoraptors 2100.12 278.359
oklahomacitythunder 2095.76 269.358
clevelandcavaliers 2089.9 322.257
losangelesclippers 2037.13 184.505
atlantahawks 1937.38 193.987
indianapacers 1803.4 271.035
portlandtrailblazers 1783.49 294.138
bostonceltics 1767.95 276.86
miamiheat 1758.01 306.849
charlottehornets 1668.68 293.337
dallasmavericks 1590.51 141.763
utahjazz 1573 250.029
memphisgrizzlies 1472.97 261.656
washingtonwizards 1468.08 252.073
houstonrockets 1442.1 258.583
detroitpistons 1414.17 257.171
orlandomagic 1399.67 315.097
chicagobulls 1336.06 253.176
16761.1
WINNING CREATURE
goldenstatewarriors 2519.2 236.039
sanantoniospurs 2220.16 245.534
torontoraptors 2083.57 214.687
oklahomacitythunder 2059.38 272.083
clevelandcavaliers 2050.96 275.022
losangelesclippers 1994.65 183.179
atlantahawks 1870.33 208.541
miamiheat 1764.84 294.44
portlandtrailblazers 1750.35 289.137
indianapacers 1747.48 315.239
bostonceltics 1711.17 232.631
charlottehornets 1656.26 270.243
dallasmavericks 1563.16 154.747
utahjazz 1547.76 277.402
memphisgrizzlies 1474.14 221.631
houstonrockets 1473.7 230.281
washingtonwizards 1444.39 207.324
orlandomagic 1440.92 293.61
detroitpistons 1422 314.411
chicagobulls 1345.43 260.129
16775.8
WINNING CREATURE
goldenstatewarriors 2517.82 282.001
oklahomacitythunder 2114.8 253.491
sanantoniospurs 2099.11 316.086
clevelandcavaliers 2028.4 271.709
torontoraptors 2008.4 291.991
losangelesclippers 1949.88 179.911
atlantahawks 1876.27 192.629
indianapacers 1788.46 284.932
miamiheat 1748.81 292.06
portlandtrailblazers 1701.57 302.068
bostonceltics 1686.42 262.646
charlottehornets 1638.21 304.384
dallasmavericks 1608.92 112.473
utahjazz 1549.07 250.395
memphisgrizzlies 1515.15 199.373
houstonrockets 1464.71 241.297
washingtonwizards 1463.21 201.668
orlandomagic 1451.78 261.331
detroitpistons 1414.03 283.882
chicagobulls 1361.68 273.322
16782.4
WINNING CREATURE
goldenstatewarriors 2515.17 232.394
sanantoniospurs 2237.45 323.991
oklahomacitythunder 2107.12 271.16
clevelandcavaliers 2059.48 271.226
torontoraptors 2003.01 287.538
losangelesclippers 1989.57 228.303
atlantahawks 1942.41 174.659
indianapacers 1796.79 305.642
bostonceltics 1772.33 217.876
miamiheat 1772.15 268.503
portlandtrailblazers 1750.72 294.182
charlottehornets 1671.97 321.803
dallasmavericks 1571.13 147.996
utahjazz 1567.05 245.183
memphisgrizzlies 1518.38 264.794
washingtonwizards 1487.68 213.989
houstonrockets 1454.83 262.926
detroitpistons 1427.81 369.847
orlandomagic 1409.92 289.522
chicagobulls 1359.01 288.726
16763.7
WINNING CREATURE
goldenstatewarriors 2427.17 260.222
sanantoniospurs 2212.76 305.065
torontoraptors 2132.4 261.682
clevelandcavaliers 2113.9 297.31
oklahomacitythunder 2085.85 240.357
losangelesclippers 1964.09 158.96
